address,mac,ssid,latitude,longitude,geocoded_address
1600 Pennsylvania Avenue NW Washington DC,AA:BB:CC:DD:EE:01,WhiteHouse_0,38.897684,-77.036574,"1600 Pennsylvania Avenue Northwest, Washington, District of Columbia 20500, United States"
350 Fifth Avenue New York NY,AA:BB:CC:DD:EE:02,Empire_0,40.672196,-73.984612,"350 Fifth Avenue, Brooklyn, New York 11215, United States"
1 Infinite Loop Cupertino CA,AA:BB:CC:DD:EE:03,Apple_0,37.331522,-122.03023,"1 Infinite Loop, Cupertino, California 95014, United States"
1 Microsoft Way Redmond WA,AA:BB:CC:DD:EE:04,Microsoft_0,47.640606,-122.127912,"1 NE One Microsoft Way, Redmond, Washington 98052, United States"
1 Hacker Way Menlo Park CA,AA:BB:CC:DD:EE:05,Facebook_0,37.485134,-122.148712,"1 Hacker Way, Menlo Park, California 94025, United States"
1901 S Bell Ave Chicago IL,AA:BB:CC:DD:EE:06,Google_0,41.864169,-87.688184,"1901 South Campbell Avenue, Chicago, Illinois 60612, United States"
410 Terry Ave N Seattle WA,AA:BB:CC:DD:EE:07,Amazon_0,47.62231,-122.336748,"410 Terry Avenue North, Seattle, Washington 98109, United States"
1 Tesla Road Austin TX,AA:BB:CC:DD:EE:08,Tesla_0,30.222695,-97.618788,"1 Tesla Road, Austin, Texas 78725, United States"
1 Apple Park Way Cupertino CA,AA:BB:CC:DD:EE:09,ApplePark_0,37.33484,-122.0113,"1 Apple Park Way, Cupertino, California 95014, United States"
500 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0A,Oracle_0,37.530685,-122.262431,"500 Oracle Parkway, Redwood City, California 94065, United States"
100 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0B,Oracle2_0,37.529394,-122.265808,"100 Oracle Parkway, Redwood City, California 94070, United States"
200 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0C,Oracle3_0,37.53074,-122.26557,"200 Oracle Parkway, Redwood City, California 94065, United States"
300 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0D,Oracle4_0,37.531192,-122.264645,"300 Oracle Parkway, Redwood City, California 94065, United States"
400 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0E,Oracle5_0,37.530844,-122.263484,"400 Oracle Parkway, Redwood City, California 94065, United States"
600 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0F,Oracle6_0,37.52981,-122.26198,"600 Oracle Parkway, Redwood City, California 94065, United States"
700 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:10,Oracle7_0,37.530014,-122.260626,"700 Oracle Parkway, Redwood City, California 94065, United States"
800 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:11,Oracle8_0,37.529531,-122.260512,"800 Oracle Parkway, Redwood City, California 94065, United States"
900 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:12,Oracle9_0,37.529173,-122.260178,"900 Oracle Parkway, Redwood City, California 94065, United States"
1000 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:13,Oracle10_0,37.528699,-122.260069,"1000 Oracle Parkway, Redwood City, California 94065, United States"
1 CNN Center Atlanta GA,AA:BB:CC:DD:EE:14,CNN_0,33.757489,-84.394522,"1 Cnn Ctr NW, Atlanta, Georgia 30303, United States"
30 Rockefeller Plaza New York NY,AA:BB:CC:DD:EE:15,NBC_0,40.759281,-73.979808,"30 Rockefeller Plaza, New York, New York 10112, United States"
77 W 66th St New York NY,AA:BB:CC:DD:EE:16,ABC_0,40.773437,-73.980607,"77 West 66th Street, New York, New York 10023, United States"
51 W 52nd St New York NY,AA:BB:CC:DD:EE:17,CBS_0,40.761169,-73.978812,"51 West 52nd Street, New York, New York 10019, United States"
1211 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:18,Fox_0,40.758599,-73.982236,"1211 Sixth Avenue, New York, New York 10022, United States"
1 Time Warner Center New York NY,AA:BB:CC:DD:EE:19,TimeWarner_0,40.767972,-73.982924,"1 Time Warner Ctr, New York, New York 10019, United States"
1 AT&T Plaza Dallas TX,AA:BB:CC:DD:EE:1A,ATT_0,32.781339,-96.799759,"Dallas, Texas, United States"
