FILE | Lines % | Branches % | Functions % | VERDICT
etl/load/fbi-field-offices-gov.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-locations.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-offices.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-resident-agencies-foia.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-resident-agencies-gov-legacy.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-resident-agencies-gov.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-resident-agencies-public.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi-training-facilities.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi/importer.ts | 0% | 100% | 0% | UNCOVERED
etl/load/fbi/loader.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi/parser.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi/scraper.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi/transformer.ts | 0% | 0% | 0% | UNCOVERED
etl/load/fbi/types.ts | 0% | 100% | 100% | UNCOVERED
etl/load/json-import.ts | 0% | 0% | 0% | UNCOVERED
etl/load/kismet-import.ts | 0% | 0% | 0% | UNCOVERED
etl/load/kml-import.ts | 0% | 0% | 0% | UNCOVERED
etl/load/kmlImportUtils.ts | 86% | 72.34% | 76.92% | PARTIAL
etl/load/sqlite-import-incremental.ts | 0% | 0% | 0% | UNCOVERED
etl/load/sqlite-import.ts | 14.97% | 35.34% | 17.64% | UNCOVERED
etl/load/sqlite/insertObservations.ts | 8.82% | 0% | 0% | UNCOVERED
etl/load/sqlite/networkReconciliation.ts | 19.04% | 12.24% | 12.5% | UNCOVERED
etl/load/sqlite/schemaSetup.ts | 20% | 100% | 0% | UNCOVERED
etl/load/sqlite/types.ts | 0% | 100% | 100% | UNCOVERED
etl/load/sqlite/validateAndEnrich.ts | 26.31% | 0% | 0% | UNCOVERED
etl/load/wigle/importer.ts | 0% | 0% | 0% | UNCOVERED
etl/load/wigle/loader.ts | 0% | 0% | 0% | UNCOVERED
etl/load/wigle/reader.ts | 0% | 0% | 0% | UNCOVERED
etl/load/wigle/transformer.ts | 0% | 0% | 0% | UNCOVERED
etl/load/wigle/types.ts | 0% | 100% | 100% | UNCOVERED
etl/loadEnv.ts | 100% | 100% | 100% | COVERED
etl/promote/process-promotion.ts | 0% | 0% | 0% | UNCOVERED
etl/promote/refresh-mviews.ts | 0% | 0% | 0% | UNCOVERED
etl/promote/run-scoring.ts | 0% | 0% | 0% | UNCOVERED
etl/promote/validate-data.ts | 0% | 0% | 0% | UNCOVERED
etl/repair/repair-missing-networks.ts | 0% | 0% | 0% | UNCOVERED
etl/run-pipeline.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/deduplicate.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/enrich-agency-offices-coords-mapbox-forward.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/enrich-agency-offices-coords-nominatim.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/enrich-agency-offices-coords-opencage-forward.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/enrich-agency-offices-zip4-smarty.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/enrich-geocoding.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/normalize-agency-offices-phone.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/normalize-observations.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/process-agencies.ts | 0% | 0% | 0% | UNCOVERED
etl/transform/process-observations.ts | 0% | 0% | 0% | UNCOVERED
etl/utils/db.ts | 0% | 0% | 0% | UNCOVERED
etl/utils/deadLetter.ts | 61.11% | 62.16% | 50% | PARTIAL
etl/utils/schemas.ts | 100% | 100% | 100% | COVERED
scripts/backup-sm-to-bitwarden.js | 44.96% | 50.84% | 43.47% | UNCOVERED
scripts/check-client-imports.ts | 0% | 0% | 0% | UNCOVERED
scripts/check-modularity.js | 0% | 0% | 0% | UNCOVERED
scripts/debug-smarty-one.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrich-addresses-fast.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrich-addresses-multi.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrich-business-names.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrich-multi-source.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrich-overpass-optimized.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/enrichment-system.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/generate-overpass-queries.ts | 0% | 0% | 0% | UNCOVERED
scripts/enrichment/monitor-enrichment.ts | 0% | 0% | 0% | UNCOVERED
scripts/generate-password.ts | 0% | 0% | 0% | UNCOVERED
scripts/generate-sitemap.js | 0% | 0% | 0% | UNCOVERED
scripts/generate-sitemap.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/export-missing-geocodes.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/geocode-addresses.ts | 0% | 0% | 0% | UNCOVERED
