lat,lon,bssid,ssid,address
25.82606125,-80.20670319,5A:E4:03:88:0F:07,Howdyy,"Express Lanes, Miami, Florida 33127, United States"
28.03479385,-81.72769928,F8:96:FE:0A:36:49,myChevrolet5776,"205 Lake Silver Drive, Winter Haven, Florida 33881, United States"
28.88811874,-82.09651184,BC:82:5D:B0:78:78,WiFi Hotspot 2739,"Interstate 75, Wildwood, Florida 34785, United States"
28.88972664,-82.09745026,BC:82:5D:B0:78:78,WiFi Hotspot 2739,"Interstate 75, Wildwood, Florida 34785, United States"
28.89134598,-82.09841156,BC:82:5D:B0:78:78,WiFi Hotspot 2739,"Interstate 75, Wildwood, Florida 34785, United States"
33.64012909,-84.46244812,F8:96:FE:0A:36:49,myChevrolet4814,"2200 Rental Car Center Parkway, College Park, Georgia 30337, United States"
34.07199097,-118.05870819,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"9650 Flair Drive, El Monte, California 91731, United States"
34.193573,-118.14076996,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"2806 North Marengo Avenue, Altadena, California 91001, United States"
36.15090561,-86.78427124,9A:49:14:34:7C:E4,FBI Truck,"610 12th Avenue South, Nashville, Tennessee 37203, United States"
36.15145493,-86.78418732,9A:49:14:34:7C:E4,FBI Truck,"604 12th Avenue South, Nashville, Tennessee 37203, United States"
36.15170288,-86.78423309,9A:49:14:34:7C:E4,FBI Truck,"601 12th Avenue South, Nashville, Tennessee 37203, United States"
37.98412323,-121.31887054,4A:4B:D4:55:5E:F1,fbiagent25,"1221 El Monte Street, Stockton, California 95207, United States"
38.86495209,-84.62384796,12:E8:A7:C0:74:7B,fbivan23,"I 75, Walton, Kentucky 40324, United States"
39.27778244,-102.96471405,9A:49:14:34:7C:E4,FBI Truck,"Dwight D. Eisenhower Highway, Flagler, Colorado 80807, United States"
39.76537323,-89.70849609,C4:49:BB:63:A7:8C,WiFi Hotspot 0353,"2939 South Veterans Parkway, Springfield, Illinois 62704, United States"
39.76654816,-89.70745087,C4:49:BB:63:A7:8C,WiFi Hotspot 0353,"2891 South Veterans Parkway, Springfield, Illinois 62704, United States"
39.77040863,-89.71094513,C4:49:BB:63:A7:8C,WiFi Hotspot 0353,"3015 West Iles Avenue, Springfield, Illinois 62704, United States"
39.83562851,-84.81967163,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 70, Richmond, Indiana 47374, United States"
39.88814545,-84.18759918,C4:49:BB:8F:D9:B4,cowboy,"I 75, Vandalia, Ohio 43551, United States"
39.92380142,-86.21790314,78:61:7C:40:B5:72,WiFi Hotspot 8615,"I 465, Indianapolis, Indiana 46290, United States"
39.92383194,-86.21634674,78:61:7C:40:B5:72,WiFi Hotspot 8615,"I 465, Indianapolis, Indiana 46290, United States"
39.92385864,-86.21479797,78:61:7C:40:B5:72,WiFi Hotspot 8615,"I 465, Indianapolis, Indiana 46290, United States"
41.10525513,-83.65995789,78:61:7C:40:B5:72,WiFi Hotspot 8615,"I 75, Findlay, Ohio 43551, United States"
41.29443741,-87.4125824,E2:DB:D1:1E:0C:B7,Ivy3737,"Cottage Grove, Lowell, Indiana 46356, United States"
41.29444504,-87.4131012,E2:DB:D1:1E:0C:B7,Ivy3737,"Cottage Grove, Lowell, Indiana 46356, United States"
41.2950592,-87.41207886,E2:DB:D1:1E:0C:B7,Ivy3737,"256 Prairie Street, Lowell, Indiana 46356, United States"
41.51781845,-94.13853455,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51781845,-94.13745117,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51782227,-94.14245605,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51782227,-94.14103699,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51782227,-94.13529968,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51783371,-94.14141846,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51783371,-94.14029694,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51784515,-94.14387512,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51784897,-94.1435318,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51786041,-94.14279938,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.51786804,-94.14348602,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"Interstate 80, Earlham, Iowa 51503, United States"
41.53177643,-83.62120056,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1924 I 75, Perrysburg, Ohio 43551, United States"
41.53286743,-83.62057495,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1924 I 75, Perrysburg, Ohio 43551, United States"
41.5343895,-83.61930084,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1926 I 75, Perrysburg, Ohio 43551, United States"
41.53583908,-83.61786652,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1926 I 75, Perrysburg, Ohio 43551, United States"
41.53728867,-83.61643219,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1926 I 75, Perrysburg, Ohio 43551, United States"
41.53873062,-83.61499023,78:61:7C:40:B5:72,WiFi Hotspot 8615,"1928 I 75, Perrysburg, Ohio 43551, United States"
41.9283371,-87.70715332,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"3149 West Logan Boulevard, Chicago, Illinois 60647, United States"
42.02022934,-83.00286102,C8:99:B2:1E:55:13,LASSI-35,"22 Goodchild Beach Road, Harrow, Ontario N0R 1G0, Canada"
42.02022934,-83.00286102,CA:99:B2:1E:55:13,Whitman1968,"22 Goodchild Beach Road, Harrow, Ontario N0R 1G0, Canada"
42.04093552,-87.75753021,5A:E4:03:C1:7F:B6,myChevrolet 7fb6,"5224 West Dempster Street, Skokie, Illinois 60077, United States"
